date,product,amount
2025-05-01,laptop,45000
2025-05-02,phone,25000
2025-05-02,laptop,45000
2025-05-03,tablet,18000
2025-05-03,phone,25000
2025-05-04,phone,25000
2025-05-04,laptop,45000
2025-05-05,tablet,18000
2025-05-05,tablet,18000
2025-05-06,laptop,45000
2025-05-06,headphones,5000
2025-05-07,headphones,5000
2025-05-07,phone,25000
2025-05-08,laptop,45000
2025-05-08,tablet,18000
2025-05-09,phone,25000
2025-05-09,laptop,45000
2025-05-10,headphones,5000
2025-05-10,tablet,18000
2025-05-10,laptop,45000
